close,asks,bids,volume,volatile,StochRSI
293.96,316.46,286.01,5176.31402,396.13983957894453,0.12678811063872106
276.91,294.5,257.05,6451.22836,398.1602015009842,0.04295871080459571
215.21,283.77,215.0,12601.95676,408.92786101123335,0.0
253.0,270.93,192.0,14223.8953,410.4603953758559,0.41571980743079
249.31,271.81,235.51,10362.06011,409.6391535683457,0.40231416372495743
257.55,264.39,239.02,4614.53337,407.34625748027935,0.5322662221173106
294.57,306.22,257.11,4125.97051,398.98021532011853,0.9039168925388952
284.0,300.0,277.41,1869.90852,386.8559277200514,0.8141219354570922
282.0,294.0,275.91,1060.56734,373.0334081502617,0.8015137011703205
257.0,287.0,252.1,1912.55583,355.60927207332463,0.6540443441665765
264.0,272.97,253.01,1464.5125,347.8292071020213,0.7372393750734265
285.93,286.23,255.11,2824.33572,339.5332593944095,0.9825061312043326
282.0,294.61,275.0,5575.54422,339.4481482484374,0.9423388044093419
294.42,299.0,281.34,5870.48035,337.26900466453657,1.0
287.9,296.81,286.24,4566.92804,329.46025298489485,0.9318916287242862
309.74,313.0,286.13,5518.10382,323.74453704032544,1.0
302.44,311.81,296.89,6600.90922,323.6585506397016,0.8833158808464127
292.22,303.0,274.0,11089.19902,323.11412220556235,0.7225397637409292
304.36,307.49,292.22,4020.60795,324.6240456386098,0.8902689118095113
303.95,306.0,294.0,5060.05758,325.5749261559835,0.8689813111662917
296.5,305.0,295.0,3710.83747,325.87416427491445,0.699031949001519
292.48,301.99,283.18,5546.85702,326.96522283769923,0.6067115217202729
291.99,297.97,288.0,4014.88792,320.0827470185118,0.5949203526367806
294.81,297.44,285.53,3412.39016,319.4024787404604,0.6133231215157213
310.8,310.8,293.78,3541.02359,319.41721991648274,1.0
311.01,318.5,303.6,2165.79076,319.67921120217954,1.0
311.07,317.07,309.0,2960.93198,321.710712924211,1.0
297.19,312.13,286.65,4885.37863,322.12481931902346,0.09474122309154792
298.64,308.56,293.0,6749.27468,322.52356821813004,0.185336668958632
304.01,305.5,298.02,3724.6863,319.2644642475762,0.5272107910332818
303.99,310.0,302.71,7827.75596,315.66856685000965,0.5257511845350461
337.96,353.96,297.0,17925.36585,324.45108681788054,1.0
342.0,349.8,335.0,7731.96469,331.78888529977826,1.0
337.96,348.0,316.17,10011.34708,337.18441437058556,0.8710874818631095
335.19,354.0,332.78,8663.47097,340.7040063977531,0.7809326668422193
315.19,336.58,312.65,8146.74356,341.0933290846528,0.1975307084045287
309.7,318.0,284.68,12908.0454,341.30581500497203,0.020079016667245916
308.66,315.0,300.0,8678.74739,341.1260747080677,0.0
304.51,311.18,302.0,8739.31764,341.1277779120363,0.0
298.94,305.34,290.0,8591.63121,341.1630604356063,0.0
293.79,306.99,290.0,7173.06893,341.28700931133505,0.0
281.09,294.6,272.2,9658.78404,342.344087168389,0.0
297.38,310.0,275.5,14066.67924,342.1228261825213,0.3054146195828634
294.49,300.0,281.0,9703.09261,342.1364884003922,0.26174442222077077
294.71,299.76,291.03,7813.02717,341.9722140907934,0.26587928256461846
296.33,298.1,292.03,6272.14802,341.6645378789924,0.298093361436486
291.87,297.0,290.1,5848.86589,341.40621568330323,0.23774457592317108
305.0,309.4,291.86,9019.13315,341.50889034191215,0.5513532735447967
307.25,316.0,302.1,8946.12026,341.6928802681001,1.0
304.9,309.99,304.01,7640.41182,341.71852331243804,0.9062554126494575
287.01,305.9,286.34,9843.1666,342.07053519812405,0.28110108505725917
283.12,293.0,274.73,13423.8572,337.81287314678275,0.16362992337303678
304.08,307.0,282.0,8194.03465,331.13291042261403,0.9355356292850082
298.04,304.99,292.11,7828.41744,324.0995132982074,0.7365383324184285
295.53,302.14,293.13,6638.42119,316.0011617749281,0.6540969994303861
297.97,305.58,290.11,7515.50103,313.38507496072424,0.6939588404355141
291.78,303.52,287.0,9418.57881,311.6741731380673,0.4347087697565322
303.02,320.0,290.02,15961.85772,310.6794751750256,0.9336555370019518
317.87,329.0,299.5,11151.29946,313.83416242289286,1.0
293.5,322.65,285.82,15597.16557,313.61785758863743,0.35782569831313027
310.02,318.0,291.91,10850.16279,315.29476790750914,0.7331386659223756
305.24,316.99,281.01,21123.15319,315.0111861890108,0.6189219545657431
312.99,318.88,303.7,15551.67434,316.8895808506561,0.7885629519614742
335.61,337.54,312.94,17709.2227,324.7968139310015,1.0
331.33,339.0,324.0,15597.16131,329.70515796286804,0.9067435632334292
331.49,334.75,321.41,14145.71696,333.8870182417679,0.8802777059451162
331.23,334.6,323.84,18042.02544,337.2526070733952,0.8719058434792847
346.66,349.9,326.01,14361.4973,343.85346923069983,1.0
354.15,373.56,343.07,19397.74898,351.29698385627216,1.0
367.42,372.5,353.9,18277.0194,361.0821260636233,1.0
362.12,375.5,350.02,26237.64398,367.30396937793915,0.870575173266913
380.65,384.84,359.0,18121.58484,376.32944004817193,1.0
405.0,425.0,370.02,25409.00111,391.3266315292151,1.0
469.0,475.0,392.8,30398.35831,423.16207291966293,1.0
461.82,484.47,450.0,21428.63117,444.8851398245727,0.9043673453947918
462.84,465.0,436.14,21691.11759,462.87701586225757,0.8986728866555754
472.31,486.94,453.0,23761.11416,479.52247504472876,0.919075497254775
466.17,477.5,453.5,23967.24816,492.5515001469014,0.7982944251630752
421.7,515.0,385.0,51313.49571,497.11304182034905,0.08738043835574397
427.43,460.0,387.01,45184.22265,499.5420122749027,0.1338112349454854
457.51,465.97,413.74,33072.21995,506.23728517085516,0.29040468997661956
457.63,471.91,445.0,25796.14,510.52549684209396,0.2912870078357215
